Feature,Mean(|SHAP|)
HDR_nanodrop (ng/ul),1.7838531023196822
HDR_A260/A230,1.6483747382494438
Estimated_Edited_Cells,1.3693059461032533
%_Successful_Edited_Cells,1.3408661108957898
HDR_A260/A280,1.0012682820758902
Qubit(ng/ul),0.5737222263795315
Average_TransfectionEfficency_GFP,0.5613104158937096
Average_Total_Cells,0.44124865804472313
Average_Cell_Count,0.42384826537701714
gRNA_A260/A230,0.3876024942292773
gRNA_actual_DNA,0.37845840818490345
gRNA_nanodrop (ng/ul),0.3405592702667558
Per_Million_TotalDNA,0.33481404752144733
gRNA_A260/A280,0.185859948211516
%_Surviving_Cells,0.15807731167060238
gRNA_Qubit (ng/ul),0.12003955537543579
HDR_actual_DNA,0.10486678951591302
