Hdr Vector Lot,Date Maveqc,Pass Fail,Gini Coefficient,Total Reads,Accepted Reads,% Reference Reads,% PAM Reads,% Unmapped Reads,% Library Reads,% Correct Size Insert,Library Coverage,Library Size,% Missing Library Sequence,Evidence For Contamination
AJQR_hdr635,19/12/2024,Pass,0.254,22330044,17999453,0.1,6.1,31.1,62.6,95.6,5216,2160,0.1,No
AJQR_hdr635,19/12/2024,Pass,0.255,23455332,18393476,0.1,6.3,29.8,63.8,97.9,5434,2160,0.1,No
AMSJ_hdr394,17/05/2024,Fail,0.264,34729639,30339549,0.8,7.3,47.9,44,86.1,10964,1216,0,No
AMSJ_hdr394,17/05/2024,Fail,0.266,20254938,17550748,0.8,7.2,49,43,85.6,6206,1216,0,No
AMSJ_hdr394,28/05/2024,Fail,0.261,28704190,25739119,0.7,6,56.7,36.6,80.1,7756,1216,0,No
AMSJ_hdr394,04/06/2024,Pass,0.156,37666122,32458679,0,3.7,24.1,72.2,89.8,19267,1216,0,No
AMSJ_hdr394,04/06/2024,Pass,0.254,33910675,30085614,1.1,9.4,30,59.5,94.8,14718,1216,0,No
AMSJ_hdr529,08/08/2024,Pass,0.28,15328690,13265345,0.2,10.3,22.1,67.4,98.2,7350,1216,0,No
AMSJ_hdr529,08/08/2024,Pass,0.281,15135583,12885588,0.2,10.4,22.1,67.3,99.2,7130,1216,0,No
AMSJ_hdr529,08/08/2024,Pass,0.282,13811510,11804044,0.2,9.9,25,64.9,98,6297,1216,0,No
AMSJ_hdr529,08/08/2024,Pass,0.283,13837243,11487340,0.2,10,24.6,65.1,99.1,6154,1216,0,No
AVED_hdr741,10/02/2025,Pass,0.291,11880287,9873918,0.6,15.7,18.4,65.4,99.1,3168,2038,0,No
AXFG_hdr500,11/07/2024,Pass,0.251,27690728,23806510,0.4,9.8,31.4,58.4,97.3,7843,1773,0.1,No
AXFG_hdr500,11/07/2024,Pass,0.251,28061948,21613244,0.3,9.2,34.7,55.7,96.1,6791,1773,0.1,No
