Targeton Name,Gene,Screen ID,Hdr Vector Lot,HDR_nanodrop (ng/ul),HDR_A260/A280,HDR_A260/A230,Qubit(ng/ul),HDR_actual_DNA,gRNA Vector Lot,gRNA_nanodrop (ng/ul),gRNA_A260/A280,gRNA_A260/A230,gRNA_Qubit (ng/ul),gRNA_actual_DNA,Per_Million_TotalDNA,D4R1 Mapped Reads,D4R2 Mapped Reads,D4R3 Mapped Reads,Average_mapped_reads,Comment,Average_TransfectionEfficency_GFP,Average_Cell_Count,Average_Total_Cells,%_Surviving_Cells,Estimated_Edited_Cells,%_Successful_Edited_Cells
AXFG,SMC1A,AXFG_1_scr173,AXFG_hdr500,4360,1.948,2.563,246,0.846330275,AXFG_gRNAvec581,917.75,1.887,2.215,545,4.453827295,0.265007879,27,28,26.9,27.3,,47.25,4371666.667,34973333.33,174.8666667,9547720,47.7386
BBAI,CTCF,BBAI_1_scr124,BBAI_hdr412,929.8,1.912,2.342,615,9.921488492,BBAI_gRNAvec307,1298.5,1.957,2.311,785,4.534077782,0.722778314,46.8,52.9,54.8,51.5,,57.5,2960000,23680000,118.4,12195200,60.976
BCWL,DDX23,BCWL_1_scr157,BCWL_hdr483,827.6,2.003,2.755,252,4.567423876,BCWL_gRNAvec022,981.45,1.917,2.223,585,4.47042641,0.451892514,23.9,37.2,34.7,31.93333333,,,5065000,40520000,202.6,12939386.67,64.69693333
BPAV,POLD1,BPAV_1_scr228,BPAV_hdr610,1125.6,1.997,2.65,264,3.518123667,BPAV_gRNAvec034,984.8,1.92,2.305,630,4.797928513,0.415802609,30.1,32.1,30.6,30.93333333,,56,,,,,
BUKA,CTCF,BUKA_4_scr148,BUKA_hdr484,2508.1,1.91,2.434,650,3.887404808,BUKA_gRNAvec635,1336,1.968,2.407,610,3.424401198,0.3655903,53.5,53.9,53.7,53.7,,,,,,,
BZDU,BRCA2,BZDU_1_scr199,BZDU_hdr593,1001.8,1.985,2.658,300,4.491914554,BZDU_gRNAvec390,1039.1,1.929,2.337,585,4.222404003,0.435715928,30.7,28.8,28.3,29.26666667,,45.75,,,,,
CNJV,SMC1A,CNJV_1_scr174,CNJV_hdr556,5045.4,1.981,2.625,835,2.48245927,CNJV_gRNAvec582,880.15,1.889,2.197,525,4.473669261,0.347806427,45.2,45,45.1,45.1,,55.25,4291666.667,34333333.33,171.6666667,15484333.33,77.42166667
CPTO,DHX16,CPTO_1_scr136,CPTO_hdr428,2291.1,1.915,2.312,640,4.190127013,CPTO_gRNAvec093,1130.2,1.93,2.233,745,4.943815254,0.456697113,42.8,46.8,46.8,45.46666667,Broad variant distribution,,3706666.667,29653333.33,148.2666667,13482382.22,67.41191112
CQEJ,SMC1A,CQEJ_4_scr206,CQEJ_hdr502,1818.2,1.944,2.608,350,2.887471125, CQEJ_gRNAvec583,862.35,1.881,2.162,376,3.270133936,0.307880253,38.5,38.3,,25.6,,,,,,,
CUGI,BRCA2,CUGI_1_scr208,CUGI_hdr594,876.45,1.977,2.693,420,7.188088311,CUGI_gRNAvec391,1567.5,1.91,2.27,910,4.354066986,0.577107765,28.7,27.8,28.2,28.23333333,,70.85,,,,,
