Hdr Vector Lot,Pass Fail,Gini Coefficient,Total Reads,Accepted Reads,% Reference Reads,% PAM Reads,% Unmapped Reads,% Library Reads,% Correct Size Insert,Library Coverage,Library Size,% Missing Library Sequence,HDR_nanodrop (ng/ul),HDR_A260/A280,HDR_A260/A230,Qubit(ng/ul),HDR_actual_DNA,gRNA_nanodrop (ng/ul),gRNA_A260/A280,gRNA_A260/A230,gRNA_Qubit (ng/ul),gRNA_actual_DNA,Per_Million_TotalDNA,Average_mapped_reads,Average_TransfectionEfficency_GFP,Average_Cell_Count,Average_Total_Cells,%_Surviving_Cells,Estimated_Edited_Cells,%_Successful_Edited_Cells
AXFG_hdr500,0,0.251,27690728,23806510,0.4,9.8,31.4,58.4,97.3,7843,1773,0.1,4360,1.948,2.563,246,0.846330275,917.75,1.887,2.215,545,4.453827295,0.265007879,27.3,47.25,4371666.667,34973333.33,174.8666667,9547720,47.7386
AXFG_hdr500,0,0.251,28061948,21613244,0.3,9.2,34.7,55.7,96.1,6791,1773,0.1,4360,1.948,2.563,246,0.846330275,917.75,1.887,2.215,545,4.453827295,0.265007879,27.3,47.25,4371666.667,34973333.33,174.8666667,9547720,47.7386
BBAI_hdr412,1,0.167,25620060,21183847,0,5.2,26.7,68.1,92.9,6933,2081,1.1,929.8,1.912,2.342,615,9.921488492,1298.5,1.957,2.311,785,4.534077782,0.722778314,51.5,57.5,2960000,23680000,118.4,12195200,60.976
BBAI_hdr412,1,0.168,30568125,25440562,0,5.2,27.2,67.7,92.9,8271,2081,1.1,929.8,1.912,2.342,615,9.921488492,1298.5,1.957,2.311,785,4.534077782,0.722778314,51.5,57.5,2960000,23680000,118.4,12195200,60.976
BBAI_hdr412,1,0.146,24042323,20463737,0,4,27.3,68.7,93.8,6758,2081,1.1,929.8,1.912,2.342,615,9.921488492,1298.5,1.957,2.311,785,4.534077782,0.722778314,51.5,57.5,2960000,23680000,118.4,12195200,60.976
BBAI_hdr412,1,0.122,25963618,22413610,0,2.5,24,73.5,97.7,7917,2081,1.1,929.8,1.912,2.342,615,9.921488492,1298.5,1.957,2.311,785,4.534077782,0.722778314,51.5,57.5,2960000,23680000,118.4,12195200,60.976
BBAI_hdr505,1,0.127,36335881,33228745,0,2.4,21.6,76,98,12141,2081,1.1,929.8,1.912,2.342,615,9.921488492,1298.5,1.957,2.311,785,4.534077782,0.722778314,51.5,57.5,2960000,23680000,118.4,12195200,60.976
BBAI_hdr505,1,0.127,35592422,29662227,0,2.2,26.3,71.5,97.1,10188,2081,1.1,929.8,1.912,2.342,615,9.921488492,1298.5,1.957,2.311,785,4.534077782,0.722778314,51.5,57.5,2960000,23680000,118.4,12195200,60.976
CNJV_hdr501,1,0.143,35676777,28743367,0.4,10.3,39,50.3,94.2,8894,1626,0,5045.4,1.981,2.625,835,2.48245927,880.15,1.889,2.197,525,4.473669261,0.347806427,45.1,55.25,4291666.667,34333333.33,171.6666667,15484333.33,77.42166667
CNJV_hdr501,1,0.144,34906200,30875251,0.4,11.3,33.8,54.5,96.6,10350,1626,0,5045.4,1.981,2.625,835,2.48245927,880.15,1.889,2.197,525,4.473669261,0.347806427,45.1,55.25,4291666.667,34333333.33,171.6666667,15484333.33,77.42166667
